ev_id,aircraft_key,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,lchg_userid,lchg_date,carb_fuel_injection,propeller_type,propeller_make,propeller_model,eng_time_total,eng_time_last_insp,eng_time_overhaul,source_archive
20251112201995,1,1,REC,Lycoming,O-360-J2A,180.0,HP,kaij,2025-11-24 13:53:16,CARB,,,,0.0,0.0,0.0,up01DEC.mdb
20230919193092,1,1,TF,P&W,PW4000 SER,60000.0,LBS,shic,2025-11-24 20:49:42,,,,,0.0,0.0,0.0,up01DEC.mdb
20230919193092,1,2,TF,P&W,PW4000 SER,60000.0,LBS,shic,2025-11-24 20:49:42,,,,,0.0,0.0,0.0,up01DEC.mdb
20231206193483,1,1,REC,Rotax,912 UL-S,100.0,HP,sufp,2025-11-25 19:00:02,CARB,FIXP,Sensenich,GT-2 196.5,535.0,0.0,0.0,up01DEC.mdb
20240430194174,1,1,REC,Lycoming,O-360-A4M,180.0,HP,coln,2025-11-25 19:00:05,CARB,FIXP,Sensenich,76-EM8S14-0-60,4559.0,34.0,412.0,up01DEC.mdb
20240624194530,1,4,REC,Continental,TSIO-550-K,310.0,HP,coln,2025-11-25 19:00:06,FINJ,CONP,Hartzell,PHC-J3Y1F-1N,1379.0,1379.0,0.0,up01DEC.mdb
20241119195512,1,1,TF,General Electric,Passport 20-1,,,hunr,2026-01-22 19:54:43,,,,,0.0,0.0,0.0,up01FEB.mdb
20241119195512,1,2,TF,General Electric,Passport 20-1,,,hunr,2026-01-22 19:54:43,,,,,0.0,0.0,0.0,up01FEB.mdb
20251201202074,1,1,REC,Continental Motors,,,HP,gute,2026-01-23 01:50:34,FINJ,,,,0.0,0.0,0.0,up01FEB.mdb
20240806194857,1,1,REC,Continental,O-200-A,,,schl,2026-01-26 16:22:02,,,,,0.0,0.0,0.0,up01FEB.mdb
20250925201721,1,1,REC,Lycoming,O-360-A4M,,HP,gute,2026-01-28 18:31:47,CARB,,,,0.0,0.0,0.0,up01FEB.mdb
20250206199658,1,1,REC,Continental,IO-550D-21B,,HP,gute,2026-01-28 18:32:06,FINJ,CONP,Hartzell propeller System,HC-C3YF-1RF/F8468A-2R,0.0,0.0,0.0,up01FEB.mdb
20211013104098,1,1,REC,LYCOMING,IO-540-AE1A5,245.0,HP,dobn,2026-01-29 19:01:15,FINJ,,,,3760.0,2.0,1560.0,up01FEB.mdb
20240409194055,1,2,REC,Continental,O-300-A,142.0,HP,dobn,2025-12-22 15:07:12,CARB,FIXP,Sensenich,M74DR,4465.0,14.0,163.0,up01JAN.mdb
20240215193798,1,1,REC,LYCOMING,O-360-A4M,180.0,HP,dobn,2025-12-22 15:18:22,CARB,FIXP,Sensenich,76EM8514-0-62,5407.0,97.0,588.0,up01JAN.mdb
20240222193827,1,5,REC,Lycoming,IO-540-AE1A5,,,dobn,2025-12-22 15:29:24,FINJ,,,,0.0,0.0,2160.0,up01JAN.mdb
20231017193258,1,1,REC,LYCOMING,TIO-540-AE2A,350.0,HP,dobn,2025-12-22 15:39:02,FINJ,CONP,Hartzell,HC-I3Y1R-1N,575.0,78.0,575.0,up01JAN.mdb
20240207193761,1,1,TF,Honeywell,TFE731-50R-1H,4750.0,LBS,coln,2025-12-23 19:00:00,,,,,4686.0,1738.0,0.0,up01JAN.mdb
20240207193761,1,2,TF,Honeywell,TFE731-50R-1H,4750.0,LBS,coln,2025-12-23 19:00:00,,,,,4537.0,1738.0,0.0,up01JAN.mdb
20241230199484,1,1,REC,LYCOMING,T0-360 SER,210.0,HP,kaij,2025-12-23 20:48:48,,,,,0.0,0.0,0.0,up01JAN.mdb
20211216104411,1,1,TF,Honeywell,HTF7350,,,dobn,2025-12-23 20:59:24,FINJ,,,,3298.0,0.0,0.0,up01JAN.mdb
20211216104411,1,2,TF,Honeywell,HTF7350,,,dobn,2025-12-23 20:59:24,FINJ,,,,6668.0,0.0,0.0,up01JAN.mdb
20250110199526,1,1,REC,Continental,O-470-R,230.0,HP,schl,2025-12-26 23:34:26,CARB,,,,0.0,0.0,0.0,up01JAN.mdb
20200821X74853,1,1,TP,P&W,PT6A-65AG,,,dobn,2025-06-24 16:43:22,,,,,1071.0,0.0,0.0,up01JUL.mdb
20200220X10054,1,1,TP,Pratt & Whitney Canada,PT6A-42,,,dobn,2025-06-24 16:46:12,,CONP,MT,,0.0,0.0,0.0,up01JUL.mdb
20200220X10054,1,2,TP,Pratt & Whitney Canada,PT6A-42,,,dobn,2025-06-24 16:46:12,,CONP,MT,,0.0,0.0,0.0,up01JUL.mdb
20190118X92207,1,1,REC,Lycoming,TSIO-540,,,dobn,2025-06-24 16:47:58,FINJ,CONP,Hartzell,HC-F3YR-1RF,0.0,0.0,0.0,up01JUL.mdb
20190820X22547,1,1,REC,Continental,IO-550-F,,,dobn,2025-06-24 16:51:21,FINJ,CONP,McCauley,,0.0,0.0,1.0,up01JUL.mdb
20210804103632,1,1,REC,P&W,R1340 SERIES,600.0,HP,dobn,2025-06-24 16:52:31,,,,,0.0,0.0,0.0,up01JUL.mdb
20190317X93630,1,1,REC,Continental,GTSIO-520-C,340.0,HP,dobn,2025-06-24 16:59:48,FINJ,CONP,McCauley,,0.0,0.0,0.0,up01JUL.mdb
20190317X93630,1,2,REC,Continental,GTSIO-520-C,340.0,HP,dobn,2025-06-24 16:59:48,FINJ,CONP,McCauley,,0.0,0.0,0.0,up01JUL.mdb
20180308X30039,1,1,REC,Lycoming,TIGO-541,425.0,HP,dobn,2025-06-24 17:02:42,FINJ,CONP,Hartzell,,2089.0,0.0,1027.0,up01JUL.mdb
20180308X30039,1,2,REC,Lycoming,TGIO-541,425.0,,dobn,2025-06-24 17:02:42,FINJ,CONP,,,2089.0,0.0,1027.0,up01JUL.mdb
20200920X20031,1,1,REC,Lycoming,IO-540 SER,,,dobn,2025-06-24 17:04:56,,,,,0.0,0.0,0.0,up01JUL.mdb
20181014X11140,1,1,REC,Continental,TSIO-550-C,,,dobn,2025-06-24 17:07:33,FINJ,,Hartzell,,0.0,0.0,0.0,up01JUL.mdb
20181115X30855,1,1,REC,Continental,O-520FTS,,,dobn,2025-06-24 17:08:24,CARB,CONP,Hartzell,PHC-G3F-1RF,283.0,169.0,0.0,up01JUL.mdb
20210919103903,1,1,REC,Covair,,,,dobn,2025-06-24 17:09:17,,FIXP,Sensenich,2AOK6C63PAL,0.0,0.0,0.0,up01JUL.mdb
20191120X01106,1,1,REC,Continental,IO-550,,,dobn,2025-06-24 17:10:19,FINJ,CONP,Hartzell,,0.0,0.0,0.0,up01JUL.mdb
20230508114699,1,1,REC,Teledyne Continental,IO-470-F (33),260.0,HP,mont,2025-06-24 18:00:00,FINJ,CONP,Hartzell,BHC-G2YF-1BF/F8468-2R,0.0,0.0,744.0,up01JUL.mdb
20230603192296,1,1,TP,LYCOMING,TI0-540 SER,310.0,HP,scoj1,2025-06-24 18:00:02,FINJ,,,,0.0,0.0,0.0,up01JUL.mdb
20230603192296,1,2,TP,LYCOMING,TI0-540 SER,310.0,HP,scoj1,2025-06-24 18:00:02,FINJ,,,,0.0,0.0,0.0,up01JUL.mdb
20230606192324,1,1,REC,Continental,TSIO-550-K,315.0,HP,grer,2025-06-24 18:00:05,FINJ,CONP,Hartzell,PHC-J3Y1F-1N/N7605CB,344.0,75.0,0.0,up01JUL.mdb
20230609192341,1,1,REC,Lycoming,,,,broda,2025-06-24 18:00:05,,,,,0.0,0.0,0.0,up01JUL.mdb
