ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude
20250620200355,ERA25FA230,ACC,2025-06-19,Th,1246.0,UTC,Beverly,MA,USA,01915,2025,6,,,,,,,,,,,,,WFAC,,90,,91.0,-1,,DAYL,,,,BKN,,,,,,260,U,6.0,F,T,0,,,,,FATL,,,,1,0,0,1,2.0,N,,,,,,2025-06-22 11:42:25,yeal,VMC,,,
20250623200365,ENG25WA039,ACC,2024-11-21,Th,902.0,UTC,Ben Slimane,,MO,,2024,11,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,U,,F,F,0,,,,,,,,,0,0,0,0,,O,,,,,,2025-06-23 13:08:18,jacky,,,,
20240920195146,GAA24WA291,ACC,2024-09-18,We,2030.0,UTC,Rivera,OF,UY,,2024,9,,,,,,,,,0.0,,,,,,0,,,0,,,,0.0,0.0,,,,,0.0,0.0,0,U,,F,F,0,0.0,,,,MINR,,,,0,1,0,0,1.0,O,,,,,,2025-06-23 15:32:33,schl,,,,
20250623200366,GAA25WA189,ACC,2025-06-21,Sa,1630.0,,Taghmon,OF,EI,,2025,6,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,U,,F,F,0,,,,,MINR,,,,0,1,0,0,1.0,O,,,,,,2025-06-23 17:09:18,linj-i,,,,
20250623200373,CEN25FA216,ACC,2025-06-23,Mo,1021.0,UTC,Montrose,CO,USA,81401,2025,6,,,,,,,,,,,,,WFAC,,0,,,0,,DAYL,CLER,,,NONE,,,,,,300,U,7.0,F,T,0,,,,,FATL,,,,2,0,0,0,2.0,N,,,,,,2025-06-23 19:37:22,perj1,VMC,,,
20250310199826,WPR25LA110,ACC,2025-03-10,Mo,404.0,UTC,North Las Vegas,NV,USA,,2025,3,,,361239N,1151140W,MEAS,,VGT,,0.0,,,,PILO,2104.0,0,VGT,,0,,NITE,CLER,0.0,0.0,NONE,,,10.0,21.0,17.0,345,U,4.0,F,F,0,30.1200008392334,,,,MINR,,,,0,2,1,0,3.0,N,,,,,,2025-06-23 20:32:11,broda,VMC,,36.210703,-115.19444
20250623200368,WPR25LA183,ACC,2025-06-22,Su,2130.0,UTC,Ferdinand,ID,USA,83526,2025,6,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,U,,F,F,0,,,,,MINR,,,,0,2,0,0,2.0,N,,,,,,2025-06-23 20:48:20,whik,,,,
20250623200379,DCA25LA241,ACC,2025-06-18,We,1514.0,UTC,Panama City Beach,FL,USA,,2025,6,,,302123N,0854756W,MEAS,,,,0.0,,,,,,0,,,0,,,,0.0,0.0,,,,,0.0,0.0,0,U,,F,F,0,0.0,,,,SERS,,,,0,6,180,1,187.0,N,,,,,,2025-06-23 21:37:53,warl,,,30.356353,-85.799006
20250602200245,WPR25LA165,ACC,2025-05-30,Fr,100.0,UTC,Lewiston,MT,USA,59457,2025,5,,,004700N,0010900W,MEAS,,,OFAP,0.0,,,,WFAC,1855.0,341,K1NM,3810.0,4,,DAYL,CLER,0.0,0.0,NONE,,,10.0,77.0,46.0,160,U,9.0,F,T,0,29.8799991607666,,,K1NM 300055Z AUTO 16009KT 10SM CLR 25/08 A2988 RMK AO2 SLP099 T02490079 $,MINR,,,,0,1,0,0,1.0,N,,,,,,2025-06-23 23:35:50,cawj,VMC,,47.0,-109.0
20250417200027,GAA25WA140,ACC,2025-04-09,We,1730.0,UTC,Campina Grande,,BR,,2025,4,,,071042S,0355925W,,,,,0.0,,,,WFAC,1200.0,134,SBKG,1646.0,8,,DAYL,SCAT,2700.0,0.0,,,,6.0,88.0,64.0,90,U,8.0,F,T,0,0.0,,,SBKG 091500Z 09008KT 9999 SCT027 31/18 Q1016,MINR,,,,0,2,0,0,2.0,O,,,,,,2025-06-24 14:14:47,schl,VMC,,-7.178333,-35.990278
20250411199992,ERA25LA172,ACC,2025-04-10,Th,2008.0,UTC,Folkston,GA,USA,31537,2025,4,,,304745N,0082141W,MEAS,DAVIS FLD,3J6,ONAP,0.0,0.0,68.0,,WFAC,1556.0,136,JAX,32.0,25,,DAYL,SCAT,2700.0,9000.0,BKN,,,10.0,73.0,61.0,90,U,9.0,F,T,0,30.09000015258789,,,KJAX 101956Z 09009KT 10SM SCT027 BKN090 23/16 A3009 RMK AO2 SLP188 T02330161,SERS,,,,0,2,2,2,6.0,N,,,,,,2025-06-24 14:26:57,schl,VMC,,30.795928,-82.028097
